,Channel,bout_length,No,Sex,Rep
582,adj_Monitor54_ch2,11.4,82983,F,1
584,adj_Monitor54_ch20,6.333333333333333,82983,F,1
586,adj_Monitor54_ch21,10.72,82983,F,1
588,adj_Monitor54_ch22,11.263157894736842,82983,F,1
590,adj_Monitor54_ch23,12.848484848484848,82983,F,1
592,adj_Monitor54_ch24,19.606060606060606,82983,F,1
594,adj_Monitor54_ch25,11.064102564102564,82983,F,1
596,adj_Monitor54_ch26,8.2,82983,F,1
598,adj_Monitor54_ch27,11.08695652173913,82983,F,1
600,adj_Monitor54_ch28,6.625,82983,F,1
602,adj_Monitor54_ch29,15.7,82983,F,1
604,adj_Monitor54_ch3,7.020833333333333,82983,F,1
606,adj_Monitor54_ch30,7.888888888888889,82983,F,1
608,adj_Monitor54_ch31,6.428571428571429,82983,F,1
610,adj_Monitor54_ch32,19.568181818181817,82983,F,1
612,adj_Monitor54_ch4,30.166666666666668,82983,F,1
614,adj_Monitor54_ch5,7.75,82983,F,1
616,adj_Monitor54_ch6,11.068965517241379,82983,F,1
618,adj_Monitor54_ch7,15.7,82983,F,1
620,adj_Monitor54_ch8,32.4,82983,F,1
622,adj_Monitor54_ch9,7.989010989010989,82983,F,1
624,adj_Monitor56_ch1,9.777777777777779,62872,M,1
626,adj_Monitor56_ch10,19.454545454545453,62872,M,1
628,adj_Monitor56_ch11,11.18918918918919,62872,M,1
630,adj_Monitor56_ch12,7.4,62872,M,1
632,adj_Monitor56_ch13,10.173076923076923,62872,M,1
634,adj_Monitor56_ch14,9.029411764705882,62872,M,1
636,adj_Monitor56_ch15,10.314814814814815,62872,M,1
638,adj_Monitor56_ch16,8.27027027027027,62872,M,1
640,adj_Monitor56_ch17,10.0,62872,M,1
642,adj_Monitor56_ch18,6.216216216216216,62872,M,1
644,adj_Monitor56_ch19,8.0,62872,M,1
646,adj_Monitor56_ch2,26.583333333333332,62872,M,1
648,adj_Monitor56_ch20,9.466666666666667,62872,M,1
650,adj_Monitor56_ch21,9.588235294117647,62872,M,1
652,adj_Monitor56_ch22,11.333333333333334,62872,M,1
654,adj_Monitor56_ch23,6.764705882352941,62872,M,1
656,adj_Monitor56_ch24,13.443037974683545,62872,M,1
658,adj_Monitor56_ch25,11.431034482758621,62872,M,1
660,adj_Monitor56_ch26,9.0,62872,M,1
662,adj_Monitor56_ch27,14.588235294117647,62872,M,1
664,adj_Monitor56_ch28,7.166666666666667,62872,M,1
666,adj_Monitor56_ch29,9.05,62872,M,1
668,adj_Monitor56_ch3,13.649122807017545,62872,M,1
670,adj_Monitor56_ch30,9.03448275862069,62872,M,1
672,adj_Monitor56_ch31,7.6,62872,M,1
674,adj_Monitor56_ch32,9.76923076923077,62872,M,1
676,adj_Monitor56_ch4,15.95,62872,M,1
678,adj_Monitor56_ch5,9.735294117647058,62872,M,1
680,adj_Monitor56_ch6,9.176470588235293,62872,M,1
682,adj_Monitor56_ch7,11.716417910447761,62872,M,1
684,adj_Monitor56_ch8,12.041666666666666,62872,M,1
686,adj_Monitor56_ch9,10.515151515151516,62872,M,1
688,adj_Monitor58_ch1,30.12,62872,F,1
690,adj_Monitor58_ch10,14.88,62872,F,1
692,adj_Monitor58_ch11,10.666666666666666,62872,F,1
694,adj_Monitor58_ch12,12.090909090909092,62872,F,1
696,adj_Monitor58_ch13,5.837209302325581,62872,F,1
698,adj_Monitor58_ch14,10.2,62872,F,1
700,adj_Monitor58_ch15,10.575757575757576,62872,F,1
702,adj_Monitor58_ch16,10.518518518518519,62872,F,1
704,adj_Monitor58_ch17,11.647058823529411,62872,F,1
706,adj_Monitor58_ch18,8.647058823529411,62872,F,1
708,adj_Monitor58_ch19,10.2,62872,F,1
710,adj_Monitor58_ch2,9.857142857142858,62872,F,1
712,adj_Monitor58_ch20,18.88888888888889,62872,F,1
714,adj_Monitor58_ch21,17.023255813953487,62872,F,1
716,adj_Monitor58_ch22,5.863636363636363,62872,F,1
718,adj_Monitor58_ch23,7.931034482758621,62872,F,1
720,adj_Monitor58_ch24,9.2,62872,F,1
722,adj_Monitor58_ch25,5.636363636363637,62872,F,1
724,adj_Monitor58_ch26,11.09375,62872,F,1
726,adj_Monitor58_ch27,19.457142857142856,62872,F,1
728,adj_Monitor58_ch28,6.5,62872,F,1
730,adj_Monitor58_ch29,5.666666666666667,62872,F,1
732,adj_Monitor58_ch3,19.333333333333332,62872,F,1
734,adj_Monitor58_ch30,5.857142857142857,62872,F,1
736,adj_Monitor58_ch31,5.666666666666667,62872,F,1
738,adj_Monitor58_ch32,13.628571428571428,62872,F,1
740,adj_Monitor58_ch5,5.818181818181818,62872,F,1
742,adj_Monitor58_ch6,8.488888888888889,62872,F,1
744,adj_Monitor58_ch7,6.2,62872,F,1
746,adj_Monitor58_ch8,17.727272727272727,62872,F,1
748,adj_Monitor58_ch9,18.90909090909091,62872,F,1
750,adj_Monitor59_ch1,5.84,55690,F,1
752,adj_Monitor59_ch10,8.35,55690,F,1
754,adj_Monitor59_ch11,6.078947368421052,55690,F,1
756,adj_Monitor59_ch12,9.914893617021276,55690,F,1
758,adj_Monitor59_ch13,5.6,55690,F,1
760,adj_Monitor59_ch14,5.0,55690,F,1
762,adj_Monitor59_ch17,13.5,55690,F,1
764,adj_Monitor59_ch18,7.4576271186440675,55690,F,1
766,adj_Monitor59_ch19,8.628571428571428,55690,F,1
768,adj_Monitor59_ch2,8.4375,55690,F,1
770,adj_Monitor59_ch20,8.625,55690,F,1
772,adj_Monitor59_ch21,11.416666666666666,55690,F,1
774,adj_Monitor59_ch22,12.882352941176471,55690,F,1
776,adj_Monitor59_ch23,7.954545454545454,55690,F,1
778,adj_Monitor59_ch24,10.3,55690,F,1
780,adj_Monitor59_ch25,15.222222222222221,55690,F,1
782,adj_Monitor59_ch26,8.454545454545455,55690,F,1
784,adj_Monitor59_ch27,6.653846153846154,55690,F,1
786,adj_Monitor59_ch28,12.88888888888889,55690,F,1
788,adj_Monitor59_ch29,5.666666666666667,55690,F,1
790,adj_Monitor59_ch3,7.8,55690,F,1
792,adj_Monitor59_ch30,9.8,55690,F,1
794,adj_Monitor59_ch31,24.2,55690,F,1
796,adj_Monitor59_ch32,6.5,55690,F,1
798,adj_Monitor59_ch5,14.36,55690,F,1
800,adj_Monitor59_ch6,10.277777777777779,55690,F,1
802,adj_Monitor59_ch7,10.166666666666666,55690,F,1
804,adj_Monitor59_ch8,9.625,55690,F,1
806,adj_Monitor59_ch9,11.416666666666666,55690,F,1
808,adj_Monitor5_ch1,8.0,80387,F,1
810,adj_Monitor5_ch10,7.219512195121951,80387,F,1
812,adj_Monitor5_ch11,7.25,80387,F,1
814,adj_Monitor5_ch12,7.682539682539683,80387,F,1
816,adj_Monitor5_ch13,6.444444444444445,80387,F,1
818,adj_Monitor5_ch14,6.625,80387,F,1
820,adj_Monitor5_ch15,5.6875,80387,F,1
822,adj_Monitor5_ch16,7.379310344827586,80387,F,1
824,adj_Monitor5_ch17,7.148148148148148,80387,F,1
826,adj_Monitor5_ch18,6.03030303030303,80387,F,1
828,adj_Monitor5_ch19,5.84375,80387,F,1
830,adj_Monitor5_ch2,7.916666666666667,80387,F,1
832,adj_Monitor5_ch20,7.5,80387,F,1
834,adj_Monitor5_ch21,6.645833333333333,80387,F,1
836,adj_Monitor5_ch22,5.0,80387,F,1
838,adj_Monitor5_ch23,11.36111111111111,80387,F,1
840,adj_Monitor5_ch24,8.5,80387,F,1
842,adj_Monitor5_ch25,7.191489361702128,80387,F,1
844,adj_Monitor5_ch26,6.72,80387,F,1
846,adj_Monitor5_ch27,6.4,80387,F,1
848,adj_Monitor5_ch28,8.113636363636363,80387,F,1
850,adj_Monitor5_ch3,6.973684210526316,80387,F,1
852,adj_Monitor5_ch30,5.714285714285714,80387,F,1
854,adj_Monitor5_ch31,6.4375,80387,F,1
856,adj_Monitor5_ch32,11.0,80387,F,1
858,adj_Monitor5_ch4,7.138888888888889,80387,F,1
860,adj_Monitor5_ch5,7.678571428571429,80387,F,1
862,adj_Monitor5_ch6,7.12,80387,F,1
864,adj_Monitor5_ch7,7.719512195121951,80387,F,1
866,adj_Monitor5_ch8,6.875,80387,F,1
