,Channel,bout_length,No,Sex,Rep
1238,adj_Monitor73_ch30,43.1496062992126,57380,F,1
1240,adj_Monitor73_ch31,93.46511627906976,57380,F,1
1242,adj_Monitor73_ch32,96.12903225806451,57380,F,1
1244,adj_Monitor73_ch4,147.6086956521739,57380,F,1
1246,adj_Monitor73_ch5,138.19565217391303,57380,F,1
1248,adj_Monitor73_ch6,66.02247191011236,57380,F,1
1250,adj_Monitor73_ch7,105.45901639344262,57380,F,1
1252,adj_Monitor73_ch8,93.45454545454545,57380,F,1
1254,adj_Monitor73_ch9,65.83333333333333,57380,F,1
1256,adj_Monitor75_ch1,193.0,55690,M,1
1258,adj_Monitor75_ch10,93.73611111111111,55690,M,1
1260,adj_Monitor75_ch11,60.89,55690,M,1
1262,adj_Monitor75_ch12,127.56363636363636,55690,M,1
1264,adj_Monitor75_ch14,112.8030303030303,55690,M,1
1266,adj_Monitor75_ch15,92.38356164383562,55690,M,1
1268,adj_Monitor75_ch16,86.38157894736842,55690,M,1
1270,adj_Monitor75_ch17,113.69491525423729,55690,M,1
1272,adj_Monitor75_ch18,92.68115942028986,55690,M,1
1274,adj_Monitor75_ch19,61.93877551020408,55690,M,1
1276,adj_Monitor75_ch2,83.96153846153847,55690,M,1
1278,adj_Monitor75_ch20,57.19626168224299,55690,M,1
1280,adj_Monitor75_ch21,41.44897959183673,55690,M,1
1282,adj_Monitor75_ch22,123.81481481481481,55690,M,1
