,Channel,Bout_Count,No,Sex,Rep
42480,adj_Monitor20_ch1,14.833333333333334,57713,M,1
42718,adj_Monitor20_ch10,15.833333333333334,57713,M,1
42968,adj_Monitor20_ch11,12.833333333333334,57713,M,1
43170,adj_Monitor20_ch12,15.166666666666666,57713,M,1
43412,adj_Monitor20_ch13,14.5,57713,M,1
43657,adj_Monitor20_ch14,13.333333333333334,57713,M,1
43860,adj_Monitor20_ch15,10.333333333333334,57713,M,1
44028,adj_Monitor20_ch16,3.8333333333333335,57713,M,1
44094,adj_Monitor20_ch17,13.0,57713,M,1
44308,adj_Monitor20_ch18,8.166666666666666,57713,M,1
44420,adj_Monitor20_ch19,9.666666666666666,57713,M,1
44604,adj_Monitor20_ch2,14.166666666666666,57713,M,1
44830,adj_Monitor20_ch20,20.5,57713,M,1
45150,adj_Monitor20_ch21,6.5,57713,M,1
45256,adj_Monitor20_ch22,19.0,57713,M,1
45548,adj_Monitor20_ch23,18.0,57713,M,1
45814,adj_Monitor20_ch24,14.833333333333334,57713,M,1
46040,adj_Monitor20_ch25,10.0,57713,M,1
46192,adj_Monitor20_ch26,5.666666666666667,57713,M,1
46288,adj_Monitor20_ch27,10.666666666666666,57713,M,1
46448,adj_Monitor20_ch29,8.0,57713,M,1
46590,adj_Monitor20_ch3,21.833333333333332,57713,M,1
46966,adj_Monitor20_ch30,14.666666666666666,57713,M,1
47200,adj_Monitor20_ch31,12.666666666666666,57713,M,1
47392,adj_Monitor20_ch32,13.0,57713,M,1
47594,adj_Monitor20_ch4,10.5,57713,M,1
47782,adj_Monitor20_ch5,9.333333333333334,57713,M,1
47928,adj_Monitor20_ch6,9.5,57713,M,1
48084,adj_Monitor20_ch7,21.666666666666668,57713,M,1
48504,adj_Monitor20_ch8,20.166666666666668,57713,M,1
48834,adj_Monitor20_ch9,15.166666666666666,57713,M,1
49064,adj_Monitor22_ch1,12.166666666666666,64498,M,1
49274,adj_Monitor22_ch10,20.5,64498,M,1
49602,adj_Monitor22_ch11,16.666666666666668,64498,M,1
49882,adj_Monitor22_ch12,13.833333333333334,64498,M,1
50116,adj_Monitor22_ch13,15.666666666666666,64498,M,1
50394,adj_Monitor22_ch14,13.333333333333334,64498,M,1
50640,adj_Monitor22_ch15,20.333333333333332,64498,M,1
51008,adj_Monitor22_ch16,16.5,64498,M,1
51296,adj_Monitor22_ch17,13.666666666666666,64498,M,1
51530,adj_Monitor22_ch18,18.333333333333332,64498,M,1
51804,adj_Monitor22_ch19,15.833333333333334,64498,M,1
52094,adj_Monitor22_ch2,12.0,64498,M,1
